tweet_id	tweet_text	class_label
1110219030256930816	I fear that the emergency situation caused by #cycloneidai is distracting us from the escalating insurgency in Cabo Delgado #Mozambique.	caution_and_advice
1111459226143125504	#Mozambique | The response to the disaster caused by heavy flooding and #CycloneIdai will be simply enormous in scale. This is how our emergency medical teams are helping:	caution_and_advice
1112460938710532097	RT @TRF_Stories: The number of cholera cases has almost doubled in #Mozambique in the past 24 hours | #Humanitarian #CycloneIdai /	caution_and_advice
1109015706467741696	#Mozambique The FCO now advise against all but essential travel to the Provinces of Sofala, Zambezia, Manica and Tete, which have been affected by Tropical Cyclone Idai.	caution_and_advice
1107189135046049792	#WARNING #ALERT #CycloneIdai DONATE WISELY, beware of thieves acting as good Samaritans. Follow donation information Only from reliable sources.	caution_and_advice
1108010538632658944	Our heartsὉ9go out to all those who have been affected by #CycloneIdai including loss of life, destruction of property &amp; displacement of people due to flooding and landslides. @WFP is supporting ongoing assessment efforts with @UNZimbabwe and stands with the people of #Zimbabwe.	displaced_people_and_evacuations
1112057961902428160	Displaced girls living in shelters are at greater risk of gender-based violence. Many are living in overcrowded shelters following #CycloneIdai. They need support and protection.	displaced_people_and_evacuations
1108942033425580032	A child is transported on a fridge during floods after Cyclone Idai in Buzi, Mozambique. More images of the devastation:  ὏7 @SibekoS	displaced_people_and_evacuations
1109190391553769472	We do not have anywhere to stay. I live with my 4 sisters &amp; I am the 5th child. We are 6 of us including mother. I wish we find somewhere safe to sleep. As a young woman I do feel safe to live here because there are many people here, Felistas says #CycloneIdai survivor	displaced_people_and_evacuations
1106639626872279041	#Floods in #Malawi has left thousands displaced. Communities are now facing a second threat of flash floods following #CycloneIdai. @MalawiRedCross is providing critical life-saving relief items and ensuring communities are evacuated safely. Hear from @tmarki on the ground:	displaced_people_and_evacuations
1108746689802833922	Full extent of damage wrought by #CycloneIdai is emerging. @UNDPAfrica and our partners are fully mobilized to provide support and life-saving assistance to the flood victims and communities in #Malawi, #Mozambique &amp; #Zimbabwe.	infrastructure_and_utility_damage
1107967699186057216	But in @NewsDayZimbabwe Minister Gumbo denies damage to the pipeline	infrastructure_and_utility_damage
1107398816121217025	The Cyclone Idai struck Beira, Mozambique with harsh winds of 180km/h on Thursday, the 14th. It has caused a lot of damage, people lost their families and homes, some are injured, schools, airports and hospitals are destroyed, roads are flooded, they’re going through a hard time.	infrastructure_and_utility_damage
1106883971034554368	.@UN teams have arrived on the ground in #Beira where #CycloneIdai has left a trail of devastation, cutting off electricity and communications, destroying homes, medical facilities and crops. Please donate to our emergency appeal:	infrastructure_and_utility_damage
1112751649406271488	The magnitude of the damage that’s been caused by #CycloneIdai is beyond what any images have shown. Seeing victims &amp; hearing them narrate their stories forced tears out, the army doing their absolute best to assist, people having to be strong, boulders where houses used to-	infrastructure_and_utility_damage
1110941846614745089	almost shed tears, This thing of Zanufizing every thing must stop. it happened in 2008 in Bikita, people died of hunger now its the same story. If we continue in this path, more people will die. For how long shall we continue to b silenced by this murderous regimeὢ2ὢD	injured_or_dead_people
1110518647058059265	Incase you are not aware, there’s a storm called Cyclone Idai that has swept through about three countries in Southern Africa- Mozambique, Zimbabwe and Malawi. It has caused very terrible flooding and as at yesterday, BBC already reported 700 people dead. Pls Pray for Africa.	injured_or_dead_people
1109745272568057856	Thousands of Mozambique Cyclone Idai survivors cling to rooftops, as death toll rises	injured_or_dead_people
1106983878777028608	My country Kenya is experiencing serious drought,people are literally dying of hunger.This week has also seen my countrys corruption &amp; f* looting scandals escalate.Down in central Africa, Zimbabwe has been hit by a cyclone that has left hundreds dead! #FaillingGOK #CycloneIdai	injured_or_dead_people
1107716280449200129	Every death from a predictable disaster like a cyclone that was known weeks in advance is a terrible indictment of our leadership. And just how did we end up with a higher death toll than Mozambique where the cyclone affected densely populated areas and also hit hardest?	injured_or_dead_people
1109813273141104640	Im crying blood for my missing children. Even though #CycloneIdai hit Mozambique over a week ago, aid agencies are warning that the disaster is getting worse. @shingainyoka was in Chimanimani in Eastern Zimbabwe, one of the worst affected areas.	missing_or_found_people
1111506654900772864	The @GiftoftheGivers K9 team is headed for an area in Chimanimani called Kopa. There are 39 school children missing. The search to locate their &amp; other remains begins today. Look out for my &amp; Linge’s report on @eNCA on Sat morning. #CycloneIdai #Zimbabwe ἟F἟C	missing_or_found_people
1109132715025199106	Names of missing persons sought #CycloneIdai	missing_or_found_people
1109101793550745600	Find missing persons or register yourself if youre in the affected areas #cyclone #cycloneIdai #emergencyservices #volunteers #chimanimani Follow this link  @ZrcsRed @MalawiRedCross @IReachOutMyHand @nelsonchamisa @mdczimbabwe	missing_or_found_people
1108286363596664834	Hundreds are dead, many more are missing and thousands are now at risk from massive #flooding in Mozambique, Zimbabwe and Malawi caused by Cyclone Idai and persistent rains. #CycloneIdai	missing_or_found_people
1108110170805157889	We declare war on Satan’s agents. No!	not_humanitarian
1109077220969115654	Varakashi want us to believe the man is trying ,what I like is tax being used here haisi yemachinja chete its for everyone in the country including you,that man haana kana basa nemunhu	not_humanitarian
1111206846105300992	After the floods. When the only President helping you is the President on your shirt. #CycloneIdaiZW #CycloneIdai	not_humanitarian
1107881126759145472	First thing you have to ask yourself is  Bigman vane social media presence yakadii? The answer to that will help you a lot!	not_humanitarian
1107239987731402753	Takaudzwa zvecyclone two weeks ago if not more. He knew it was coming before he left. Why didn’t he put the relief strategy together and cancel that trip rather than going and cut short his visit”?	not_humanitarian
1116657438810345472	EU Ambassador ἞A἟A Antonio Sanchez-Benedito visited #Mozambique this week to see @WFP’s response efforts in the aftermath of #CycloneIdai. A recent #EU contribution has enabled WFP-led @logcluster to reach isolated communities with food airlifts! ὊA	other_relevant_information
1110392909881372674	@marozvatawanda @InfoMinZW @edmnangagwa @nickmangwana @nelsonchamisa It is also possible, but the bulk of the stones were a result of the mudslides. From the first image below, you can see the downhill terrain. There is nowhere these stones could have come from the water &amp; be left on higher ground as this defies the laws of gravity. #CycloneIdai	other_relevant_information
1107192674749169664	Emergency Ὢ8 readiness is key to successfully dealing with natural disasters and ensuring lives are not unnecessarily lost @InfoMinZW, we knew the #CycloneIdai was on the way, what did we do to ensure readiness to assist? What did cabinet decide on all ministries involved?	other_relevant_information
1107354585054638080	RT @WeArePindula: PICTURES: Mvumvumvu River Bridge Washed Away Restricting Relief Efforts #CycloneIdai	other_relevant_information
1107211294531297280	RT @PESLawyers: Mutare Urban #CycloneIdais impacts on colonial era homes #Cyclones | Pics courtesy of our partner @ManicaYouth	other_relevant_information
1107521735937744897	Calling all corporates, investors &amp; institutions to come to aid in Zimbabwe. The deadly #CycloneIdai has kills more than 70 &amp; displaced thousands. #CSR @ZNCCNational @ZimTradeAlerts @africanroundup @CRSnews @UNZimbabwe @HigherLifeFDN	requests_or_urgent_needs
1109323550568136704	At least 500,000 people are waiting for food and water in Mozambique after Cyclone Idai hit Southern Africa and almost wiped out the city of Beira.	requests_or_urgent_needs
1111396955903717376	Cholera outbreak in Mozambique reported. We need all the help we can get!	requests_or_urgent_needs
1110441852371697664	Did it also cross your mind that victims of #CycloneIdai lost their phones too? Good. You can still send that mbudzi.	requests_or_urgent_needs
1110463906730967041	This months trivia is dedicated to all those who have suffered due to the recent flooding in Malawi. Please bring clothes, shoes, and non perishable food items to TJs next Friday and help us make a difference. #Serviceaboveself #CycloneIdai #Rotary	requests_or_urgent_needs
1109324174147964928	Our school has set up a donation page that you can go to if you wish to support people affected by the cyclone in Mozambique last week.	rescue_volunteering_or_donation_effort
1107923093731921921	#Twimbos #CycloneIdai Thank to all those who are giving I am proud to be a part of the effort to help those who are affected by this storm.	rescue_volunteering_or_donation_effort
1116302669172412422	retweet @ GEOSEC2025: RT hotosm: What can you do to help for #CycloneIdai? ☑️ Volunteer to map online ☑️ Verify mapped areas ☑️ Spread the word #volunteer	rescue_volunteering_or_donation_effort
1107577257609043968	Victims of #CycloneIdai are in dire need of help from each one of us.If you’d like to contribute to this selfless cause kindly join our meeting @rotarymsasa,tomorrow at Rotary Centre from 12:45-2pm. Please RT, it counts! #ServiceAboveSelf @FlossyMase @wadzamhombera @KirstieGavaza	rescue_volunteering_or_donation_effort
1110236412287303681	Zimbabwean members of the Church of Jesus Christ unite together to provide relief to people suffering from #CycloneIdai, which has spread destruction throughout #Zimbabwe and neighboring countries such as #Mozambique and #Malawi.	rescue_volunteering_or_donation_effort
1107675314925301761	Out thoughts and prayers go out to everyone affected by #CycloneIdai. We are saddened by the loss of life and displacement of people due to the heavy rains. @ChallengeTB @TheUnion_TBLH @MoHCCZim	sympathy_and_support
1110577702589906946	Despite the economic hardships, Zimbabweans have showed love to the victims of #cycloneidai .Thank you Methodist Church @fortunechasi @InfoMinZW @ndiL3O @jsnetzim @StarfmZimbabwe @ZimbabweUpdate @ZBCNewsonline @ProfJNMoyo #CycloneIdaiZW #CycloneIdaiUPDATE	sympathy_and_support
1107310769279066113	We appeal to friends, colleagues and interested stakeholders to support in this critical time for affected areas in #Zimbabwe. Your support go a long way in saving lives @zambezi40 @RSTMH @healthtimeszim @helatv_zim @cheveningfco @UKinZimbabwe @Africa_evidence @i_Adebusuyi	sympathy_and_support
1107948159194546176	My heart goes to the people of #Beira, #Chimanimani and all affected by #cycloneIdai. It was massive. The response from Churches and other orgs here #harare enormously encouraging though! If you can give cloths, food anything see Highlands Presbytarian church + @ICRC Red Cross	sympathy_and_support
1107010881328726017	RT @joannahself: Injury to one is injury to all. My thoughts and prayers are with the affected families. #Zimbabwe #CycloneIdai	sympathy_and_support
