tweet_id,tweet_text,class_label,predicted_label,confidence,entropy,status
798064896545996801,I feel a little uneasy about the idea of work tomorrow when the aftershocks are still so strong. #eqnz #wellingtonearthquake,other_relevant_information,caution_and_advice,0.85,,ok
797913886527602688,"#eqnz Interislander ferry docking aborted after huge 7.5 magnitude quake, sailings on hold",caution_and_advice,infrastructure_and_utility_damage,0.9,,ok
797867944546025472,Much of New Zealand felt the earthquake after midnight; waking to discover how much damage,other_relevant_information,infrastructure_and_utility_damage,0.85,,ok
797958935126773760,"Noticing a lot of aftershocks on eqnz site, but we seem not to be feeling them. What about the rest of Wellington?",sympathy_and_support,other_relevant_information,0.85,,ok
798594044343353344,RT @SimonMakker: Feedback on the @NZRedCross team here in #Kaikoura has been overwhelmingly positive; everyone grateful for their help and,rescue_volunteering_or_donation_effort,sympathy_and_support,0.85,,ok
798833931084697601,RT @corinneambler: Some appreciative people out there #eqnz New Zealand Red Cross - Earthquake evacuees say Red Cross is wonderful,rescue_volunteering_or_donation_effort,sympathy_and_support,0.85,,ok
798059444533792769,RT @MetService: ICYMI: Heres Georgina talking to John Campbell @CheckpointRNZ about severe weather in #eqnz affected areas,other_relevant_information,caution_and_advice,0.85,,ok
798148696508506112,Surveillance video from inside a New Zealand golf store gives a sense of 7.8-magnitude earthquakes power.,other_relevant_information,infrastructure_and_utility_damage,0.85,,ok
798770009589698560,RT @KlynchStuff: Really good read on quakes and buildings #eqnz #earthquake .,other_relevant_information,not_humanitarian,0.95,,ok
800833072014901256,RT @WREMOinfo: Hi weve seen the reports about the recent Earthquake in Japan. Civil Defence advise there is NO Tsunami threat to New Zeala,other_relevant_information,caution_and_advice,0.9,,ok
797873628154970113,"@EthanDolan Im so tired because weve had massive earthquakes and tsunami warnings in New Zealand, I have work soon as well ὢD",caution_and_advice,other_relevant_information,0.85,,ok
797963881406550017,Some of these aftershocks are terrifying ὣ0 #eqnz #newzealandquake,caution_and_advice,not_humanitarian,0.85,,ok
798347803973980160,I am extremely proud of my partner who is part of MFATs emergency response team and went a second successive night without sleep. #eqnz,rescue_volunteering_or_donation_effort,not_humanitarian,0.85,,ok
799872348291633152,"When disaster hits, we need to look out for each other. Need someone to talk to? Earthquake Support Line 0800 777 846 #eqnz",sympathy_and_support,caution_and_advice,0.85,,ok
797909819512344577,rocking and a rolling last night. Rather violently I must admit. Plenty of aftershocks to help us not forget,other_relevant_information,not_humanitarian,0.9,,ok
798236564757315585,Back to work Tuesday morning gift with torrential rain in Wellington and other parts of the southwest of the North Island! #earthquake #eqnz,other_relevant_information,not_humanitarian,0.95,,ok
800524133620555776,"As @Wellington_NZ starts a new week after #eqnz, thoughts on taking care of u &amp; yr teams from @Sarb #pleaseshare",sympathy_and_support,caution_and_advice,0.85,,ok
