tweet_id,tweet_text,class_label,predicted_label,confidence,entropy,status
905289013573115905,"Such things must happen, but the end is still to come matthew 24:6 You will see signs of destruction before Jesus second coming 🙏🏼",other_relevant_information,not_humanitarian,0.95,,ok
905289902404886528,I feel sooooo bad for the flood victims!!! These videos are sad as shit,other_relevant_information,sympathy_and_support,0.95,,ok
905290020793327617,"The CEO of MyPillow just sent 60,000 pillows to flood victims in the shelters in Houston. 🇺🇸 Thanks @realMikeLindell 👍🏻",other_relevant_information,rescue_volunteering_or_donation_effort,0.95,,ok
905291564750131200,"Forclosure Monster, Mnuchin, plans to hold flood relief hostage to that STUPID STUPID wall.",other_relevant_information,not_humanitarian,0.9,,ok
905296061404766210,"Dangerous #Category5 #HurricaneIrma may bring catastrophic damage! Flooding from storm surge &amp; rain, strong winds coming. Threat to S FL.",infrastructure_and_utility_damage,caution_and_advice,0.9,,ok
905296197883224065,@blaubok fewer people died in the flood than died in the evacuation of 2005. Can we blame your own stupidity on Trump?,injured_or_dead_people,not_humanitarian,0.9,,ok
905296384227774464,@HalfAtlanta during the flood in Nashville they made them work in the city trying to prevent damage and credited the national guard for their work,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,0.7,,ok
905297840498409472,Bozoathon For Houston LIVE is 9/8 7p to 9/8 7p. A 24 hr stream raising $$$ for flood victims. Here are some of the guests! More details soon,other_relevant_information,rescue_volunteering_or_donation_effort,0.9,,ok
905298131109150720,"@sherrilee7 Im out on the golden isles though, not in the city. We flood in heavy rain and the tides coming in.",other_relevant_information,infrastructure_and_utility_damage,0.8,,ok
905298490145812481,"If youre in Miami-Dade, these are potential flood areas, with red being highest chance of flooding. Im just in the teal area to the left.",other_relevant_information,caution_and_advice,0.85,,ok
905298535893131264,Ill go help flood victims sure 🤷‍♂️,other_relevant_information,rescue_volunteering_or_donation_effort,0.85,,ok
905299089079902208,All those homes and all of that wildlife GONE bc some stupid ass kids wanted to play around with fire works in a forest? Smh,other_relevant_information,infrastructure_and_utility_damage,0.8,,ok
905300166613364736,Protecting Building Services From Flood Damage - Guidelines from around the globe -the 1in500 may become the norm ?,infrastructure_and_utility_damage,caution_and_advice,0.85,,ok
905301690257113088,how dumb do you have to be to set off fireworks during a heat wave in a fire danger zone lol well congratulations you destroyed the forest,not_humanitarian,caution_and_advice,0.8,,ok
905301930754404352,Miracle of heavy rain 😆 🌧🌪,other_relevant_information,not_humanitarian,0.95,,ok
905304943552233474,Here are ways that you can support the flood relief efforts in Makurdi.,other_relevant_information,rescue_volunteering_or_donation_effort,0.95,,ok
905304973449326593,Grim Legions Houston Flood Relief Funds  via @youcaring,other_relevant_information,rescue_volunteering_or_donation_effort,0.9,,ok
905307305734012928,Thoughts HurricaneHarvey victims trapped in flood waters were taken to a FEMA camp in Walmart” -,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,0.8,,ok
905309804251381760,"@cahjalay Allah / God created u me &amp; all of Universe &amp; sustains us &amp; when he gives Tsunami, Katrina Harvey Man runs for cover &amp; no one could save us",other_relevant_information,sympathy_and_support,0.7,,ok
905310933743841281,As you know by now hurrican Irma is coming our way. We are in the mist of assisting with relief efforts in TXs,other_relevant_information,rescue_volunteering_or_donation_effort,0.85,,ok
905312844308250624,@trekonomics I dont envy you the earthquake prep since at least with hurricanes weve got a few days to get our act together :/,other_relevant_information,caution_and_advice,0.7,,ok
905313357921583104,"Thank you for all that youre doing for animals, @NationalGuard! 🐾 #HurricaneHarvey",other_relevant_information,sympathy_and_support,0.85,,ok
